name,funding_total_usd
A Bit Lucky,1.0312103E7
A Curated World,50000.0
A Family First Community Services,500000.0
A la Mobile,7550000.0
A LITTLE WORLD,6410000.0
A Smarter City,15000.0
A-Gas,1.15837967E8
A-Power Energy Generation Systems,1.02E7
A-Vu Media,250000.0
A.P.Pharma,2.4000001E7
A&G Pharmaceutical,2100002.0
A10 Networks,1.18E8
A123 Systems,5.0286E8
AAIPharma Services,2.0E7
Aarden Pharmaceuticals,500000.0
Aastrom Biosciences,4.0E7
Aava Mobile,4260000.0
Abacast,500000.0
Abacus e-Media,3409316.0
Abakan,2934995.0
Abakus,825000.0
Abattis Bioceuticals,317279.0
abaXX Technology,4540000.0
Abazab,4100000.0
ABB,2700000.0
AbbeyPost,125000.0
Abcam,7.8799653E7
Abcellute,805909.0
Abcodia,1622348.0
Abe's Market,9080000.0
abeo,2012700.0
Abeona Therapeutics,750000.0
AbGenomics,2.645E7
Abide Therapeutics,2250180.0
Ability Dynamics,1500000.0
ABILITY Network,3.3E7
AbilTo,3000000.0
Abine,6467283.0
Abingdon Health,4768678.0
Abiquo Group,1.3130737E7
aBIZinaBOX,500000.0
Ablative Solutions,2.5930577E7
Able Imaging,500000.0
Able Planet,1.2005448E7
AbleSky,1273000.0
Ablexis,1.2E7
Ablynx,4.135635E7
Abodo,325000.0
Abound Logic,3705137.0
Abound Solar,5.1E8
about.me,5675000.0
AboutUs.org,2500000.0
Above All Software,2100000.0
Above Security,2500000.0
ABPathfinder,960000.0
ABS,132500.0
Absio,2757346.0
ABSMaterials,4000000.0
Absolicon Solar Concentrator,661000.0
AbsolutData,2.0E7
Absynth Biologics,1287964.0
ABT Molecular Imaging,2.0064818E7
Abundance Generation,4545754.0
AC Immune SA,2.200946E7
Acacia,15000.0
Acacia Communications,2.3E7
Acacia Interactive,259910.0
Acacia Living,2338650.0
Acacia Pharma,3.35E7
Acacia Research,2.446E8
ACACIA Semiconductor,368000.0
Academia RFID,4499999.0
Academia.edu,1.78E7
Academy of Inovation,50000.0
ACADIA Pharmaceuticals,1.01385E8
AcadiaSoft,4000000.0
ACAL Energy,1.6424363E7
Acamica,130000.0
Acarix,4710960.0
Accedo,1270000.0
Accela,5.0E7
Accelera Innovations,2.0E8
Accelera Mobile Broadband,3033472.0
Accelerate Mobile Apps,250000.0
Accelerated Orthopedic Technologies,150000.0
Accelerated Vision Group,8500000.0
Accelereach,50000.0
Accelerize New Media,1045500.0
Acceleron Pharma,1.13701127E8
Accelitec,5705841.0
Accellion,1.3410901E7
AccelOps,2.5E7
Accendo Technologies,1560000.0
Accent,2.020996E7
Accentia Biopharmaceuticals Inc,775000.0
Acceptd,1020000.0
Accera,1.3858161E8
Accertify,4700000.0
Access Closure,1.0998098E7
Access Intelligence,7380000.0
Access Media 3,3.0E7
Access MediQuip,4.69E7
Access Network,3200000.0
Access Point,4500000.0
Access Psychiatry Solutions,250000.0
Access Systems,1300000.0
Access UK,8.0157014E7
Accessbio,1.2E7
"AccessClosure, Inc.",2795000.0
AccessData,4.5E7
AccessSportsMedia.com,2.0E7
Accion,2.3E7
Accion Texas,2800000.0
Accipiter Radar,4700000.0
Accipiter Systems,4979639.0
Acclaimd,90000.0
Acclaris Holdings,3.51E7
Acco Brands,1.0E7
Accolade,5.0944444E7
Accord Biomaterials,1200000.0
AccountNow,3.4072E7
Accrue Search Concepts dba Boounce,200000.0
Accruent,3.2E7
Accruit,3315000.0
Accu-Break Pharmaceuticals,1000000.0
Accudial Pharmaceutical,1.2024769E7
AccuDraft,650000.0
Accuhealth Partners,760000.0
Accumetrics,1.10640467E8
Accumulate,1.205E7
Accumuli Security,8033458.0
AccuNostics,6321095.0
Accurate Group,1.2E7
Accurence,1894000.0
AccuRev,2100000.0
Accuri Cytometers,3.2655E7
AccurIC,329696.0
AccuTherm Systems,200000.0
ACE,750184.0
Ace Metrix,1.87E7
ACE Portal,75000.0
ACE*COMM,5000000.0
AcelRx Pharmaceuticals,7.8840796E7
Acer,1.50594138E8
Aceris 3D Inspection,4880000.0
Acertiv,737630.0
Acesis,3638201.0
Acetylon Pharmaceuticals,1.5125E8
Aceva Technologies,5280000.0
AchaLa,30000.0
Achaogen,1.00905707E8
Achates Power,6.65E7
Acheive CCA,5000000.0
Achelios Therapeutics,1856004.0
ACHICA,1.3274404E7
Achieve Financial Services,1.25E7
Achieve3000,9000000.0
Achieved.co,19299.0
AchieveIt Online,3600000.0
Achievers,4.9122326E7
Achievo(R) Corporation,2.4E7
Achilles Group,2500000.0
Achillion Pharmaceuticals,5.01E7
Achronix Semiconductor,1.35776263E8
achvr,1250000.0
Aciex Therapeutics,8000000.0
Acision,1.0E8
ACKme Networks,1400000.0
ACM Capital Partners,8000000.0
aCommerce,3100000.0
Aconex,8.5E7
Aconite Technology,592000.0
Acopia Networks,2.0E7
Acorns,2800000.0
Acoustic Sensing Technology,976866.0
Acoustic Technologies,7974296.0
Acousticeye,1.3E7
Acquaintable,40000.0
Acquisio,1.21E7
Acrinta,130000.0
Acrisure,2.0E7
Acronis,1.1E7
ACS Clothing,1.2879637E7
ACS Global,3162000.0
Acsendo,150000.0
ACSIAN,495440.0
Acsis,6000000.0
